[root@pacstat1 pssh]# sh batch-get.sh 
[272] 21:40:41 [FAILURE] 10.10.232.146 Exited with error code 1
[273] 21:40:41 [SUCCESS] 10.10.232.166
[274] 21:40:41 [SUCCESS] 10.10.232.72
[275] 21:40:41 [SUCCESS] 10.10.56.193
[276] 21:40:41 [SUCCESS] 10.10.56.165
[277] 21:40:41 [SUCCESS] 10.10.232.71
[278] 21:40:41 [SUCCESS] 10.10.56.209
[279] 21:40:41 [SUCCESS] 10.10.56.216
[280] 21:40:41 [SUCCESS] 10.10.56.144
[281] 21:40:41 [SUCCESS] 10.10.56.139
[282] 21:40:41 [SUCCESS] 10.10.56.142
[283] 21:40:41 [SUCCESS] 10.10.56.145
[284] 21:40:41 [SUCCESS] 10.10.56.143
[285] 21:40:41 [SUCCESS] 10.10.56.150
[286] 21:40:41 [SUCCESS] 10.10.232.68
[287] 21:40:41 [SUCCESS] 10.10.56.148
[288] 21:40:41 [SUCCESS] 10.10.232.73
[289] 21:40:41 [SUCCESS] 10.10.56.141
[290] 21:40:41 [SUCCESS] 10.10.232.74
[291] 21:40:41 [SUCCESS] 10.10.56.149
[292] 21:40:41 [SUCCESS] 10.10.232.67
[293] 21:40:41 [SUCCESS] 10.10.64.31
[294] 21:40:41 [SUCCESS] 10.10.56.147
[295] 21:40:41 [SUCCESS] 10.10.232.84
[296] 21:40:41 [SUCCESS] 10.10.232.78
[297] 21:40:41 [SUCCESS] 10.10.56.146
[298] 21:40:41 [SUCCESS] 10.10.56.157
[299] 21:40:41 [SUCCESS] 10.10.56.233
[300] 21:40:41 [SUCCESS] 10.10.232.82
[301] 21:40:41 [SUCCESS] 10.10.56.151
[302] 21:40:41 [SUCCESS] 10.10.56.171
[303] 21:40:41 [SUCCESS] 10.10.232.93
[304] 21:40:41 [SUCCESS] 10.10.232.94
[305] 21:40:41 [SUCCESS] 10.10.232.83
[306] 21:40:41 [SUCCESS] 10.10.232.98
[307] 21:40:41 [SUCCESS] 10.10.56.157
[308] 21:40:41 [SUCCESS] 10.10.56.233
[309] 21:40:41 [SUCCESS] 10.10.56.160
[310] 21:40:41 [SUCCESS] 10.10.56.159
[311] 21:40:41 [SUCCESS] 10.10.56.156
[312] 21:40:41 [SUCCESS] 10.10.56.163
[313] 21:40:41 [SUCCESS] 10.10.56.236
[314] 21:40:41 [SUCCESS] 10.10.56.191
[315] 21:40:41 [SUCCESS] 10.10.56.235
[316] 21:40:41 [SUCCESS] 10.10.56.174
[317] 21:40:41 [SUCCESS] 10.10.56.179
[318] 21:40:41 [SUCCESS] 10.10.232.96
[319] 21:40:41 [SUCCESS] 10.10.56.173
[320] 21:40:41 [SUCCESS] 10.10.232.112
[321] 21:40:41 [SUCCESS] 10.10.56.188
[322] 21:40:41 [SUCCESS] 10.10.56.186
[323] 21:40:41 [SUCCESS] 10.10.56.190
[324] 21:40:41 [SUCCESS] 10.10.56.185
[325] 21:40:42 [SUCCESS] 10.10.56.175
[326] 21:40:42 [SUCCESS] 10.10.232.123
[327] 21:40:42 [SUCCESS] 10.10.56.195
[328] 21:40:42 [SUCCESS] 10.10.56.203
[329] 21:40:42 [SUCCESS] 10.10.56.180
[330] 21:40:42 [SUCCESS] 10.10.56.196
[331] 21:40:42 [SUCCESS] 10.10.56.198
[332] 21:40:42 [SUCCESS] 10.10.56.204
[333] 21:40:42 [SUCCESS] 10.10.56.194
[334] 21:40:42 [SUCCESS] 10.10.232.136
[335] 21:40:42 [SUCCESS] 10.10.232.126
[336] 21:40:42 [SUCCESS] 10.10.232.127
[337] 21:40:42 [SUCCESS] 10.10.232.143
[338] 21:40:42 [SUCCESS] 10.10.56.183
[339] 21:40:42 [SUCCESS] 10.10.56.200
[340] 21:40:42 [SUCCESS] 10.10.56.201
[341] 21:40:42 [SUCCESS] 10.10.56.206
[342] 21:40:42 [SUCCESS] 10.10.237.10
[343] 21:40:42 [SUCCESS] 10.10.56.210
[344] 21:40:42 [SUCCESS] 10.10.101.11
